timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619158182923,306,Facebook-1,200,OK,Thread Group 1-9,text,true,,192119,118,20,20,https://www.facebook.com/,268,0,0
1619158182656,581,Twitter,200,OK,Thread Group 1-14,text,true,,68089,383,20,20,https://twitter.com/intent/tweet,175,0,0
1619158182656,175,Twitter-0,301,Moved Permanently,Thread Group 1-14,,true,,600,129,20,20,http://www.twitter.com/intent/tweet,175,0,0
1619158182831,174,Twitter-1,301,Moved Permanently,Thread Group 1-14,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,174,0,0
1619158183005,232,Twitter-2,200,OK,Thread Group 1-14,text,true,,66847,125,20,20,https://twitter.com/intent/tweet,209,0,0
1619158182708,593,Twitter,200,OK,Thread Group 1-8,text,true,,68089,383,20,20,https://twitter.com/intent/tweet,176,0,0
1619158182708,176,Twitter-0,301,Moved Permanently,Thread Group 1-8,,true,,600,129,20,20,http://www.twitter.com/intent/tweet,176,0,0
1619158182885,179,Twitter-1,301,Moved Permanently,Thread Group 1-8,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,179,0,0
1619158183064,237,Twitter-2,200,OK,Thread Group 1-8,text,true,,66847,125,20,20,https://twitter.com/intent/tweet,201,0,0
1619158182865,463,Facebook,200,OK,Thread Group 1-2,text,true,,192463,236,20,20,https://www.facebook.com/,167,0,0
1619158182865,167,Facebook-0,301,Moved Permanently,Thread Group 1-2,text,true,,349,118,20,20,http://www.facebook.com/,167,0,0
1619158183032,296,Facebook-1,200,OK,Thread Group 1-2,text,true,,192114,118,20,20,https://www.facebook.com/,273,0,0
1619158182098,1242,Quora ,200,OK,Thread Group 1-5,text,true,,159966,377,20,20,https://softwaremon.quora.com/,9,0,4
1619158182098,9,Quora -0,301,Moved Permanently,Thread Group 1-5,,true,,328,127,20,20,http://www.softwaremon.quora.com/,9,0,4
1619158182107,273,Quora -1,301,Moved Permanently,Thread Group 1-5,,true,,633,127,20,20,https://www.softwaremon.quora.com/,273,0,0
1619158182380,960,Quora -2,200,OK,Thread Group 1-5,text,true,,159005,123,20,20,https://softwaremon.quora.com/,500,0,0
1619158182818,578,Twitter,200,OK,Thread Group 1-16,text,true,,68089,383,20,20,https://twitter.com/intent/tweet,176,0,0
1619158182818,176,Twitter-0,301,Moved Permanently,Thread Group 1-16,,true,,600,129,20,20,http://www.twitter.com/intent/tweet,176,0,0
1619158182995,171,Twitter-1,301,Moved Permanently,Thread Group 1-16,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,171,0,0
1619158183166,230,Twitter-2,200,OK,Thread Group 1-16,text,true,,66847,125,20,20,https://twitter.com/intent/tweet,201,0,0
1619158182917,581,Twitter,200,OK,Thread Group 1-19,text,true,,68362,383,20,20,https://twitter.com/intent/tweet,183,0,0
1619158182917,183,Twitter-0,301,Moved Permanently,Thread Group 1-19,,true,,614,129,20,20,http://www.twitter.com/intent/tweet,183,0,0
1619158183100,172,Twitter-1,301,Moved Permanently,Thread Group 1-19,,true,,656,129,20,20,https://www.twitter.com/intent/tweet,172,0,0
